regionID,region,lat,lon,weatheronline_sun,weatheronline_key
09188113,Berg,47.9686,11.356,1,10865
09375,Regensburg,49.047094,12.108713,1,10776
09186,Pfaffenhofen,48.529853,11.508729,1,10860
